Platform, cli, lgdt, prot, in 32, id map, long, in 64
Hyper-V,   40, 192,3832, 224,11984, 772, 212
Hyper-V,   44, 196,3820, 224,12000, 772, 212
Hyper-V,   44, 184,4876, 228,13656, 780, 212
Hyper-V,   40, 192,4332, 224,12464, 760, 208
Hyper-V,   44, 192,3916, 224,12080, 796, 208
Hyper-V,   44, 192,3972, 224,12056, 772, 212
Hyper-V,   40, 192,3832, 228,11976, 776, 208
Hyper-V,   44, 192,3816, 228,12032, 776, 212
Hyper-V,   44, 192,3768, 232,12000, 776, 212
Hyper-V,   44, 192,5352, 224,13700,1016, 212
Hyper-V,   40, 192,4088, 224,12456, 764, 212
Hyper-V,   40, 196,4120, 224,12508, 772, 212
Hyper-V,   40, 232,3484, 292,12188, 776, 208
Hyper-V,   44, 196,3932, 224,12156, 772, 212
Hyper-V,   40, 192,3868, 224,12032, 772, 212
Hyper-V,   40, 196,3864, 224,11980, 772, 212
Hyper-V,   44, 196,3860, 228,12020, 772, 208
Hyper-V,   40, 196,3912, 228,11996, 772, 208
Hyper-V,   44, 196,3688, 228,12060, 772, 212
Hyper-V,   40, 192,3760, 228,11944, 776, 212
Hyper-V,   40, 196,3852, 228,11968, 772, 212
Hyper-V,   40, 196,3760, 224,11932, 772, 212
Hyper-V,   40, 196,4884, 224,13216, 756, 212
Hyper-V,   40, 232,4788, 288,13480, 760, 212
Hyper-V,   64, 188,3988, 228,12912, 756, 208
Hyper-V,   44, 192,4232, 224,13140, 772, 212
Hyper-V,   44, 188,4036, 224,12864, 772, 212
Hyper-V,   44, 188,4492, 228,12748, 760, 208
Hyper-V,   40, 188,4224, 228,12520, 760, 212
Hyper-V,   40, 192,4576, 228,13340, 776, 212
Hyper-V,   40, 188,4324, 224,12900, 764, 208
Hyper-V,   44, 216,4780, 228,13260, 764, 212
Hyper-V,   60, 192,4500, 224,13492, 756, 212
Hyper-V,   44, 192,5156, 224,14516,28924, 212
Hyper-V,   40, 192,4288, 224,13296, 772, 212
Hyper-V,   44, 192,4728, 224,13416, 776, 208
Hyper-V,   44, 192,4056, 228,12684, 772, 208
Hyper-V,   40, 352,5012, 232,15756, 756, 212
Hyper-V,   40, 280,5592, 224,14312, 748, 212
Hyper-V,   40, 200,5140, 232,14196, 772, 212
Hyper-V,   40, 196,4452, 232,13416, 772, 212
Hyper-V,   44, 196,3944, 224,12876, 776, 208
Hyper-V,   44, 180,4776, 232,13460, 780, 208
Hyper-V,   40, 216,4892, 232,13896, 768, 212
Hyper-V,   44, 192,4432, 228,12664, 772, 212
Hyper-V,   40, 192,3832, 224,12484, 776, 212
Hyper-V,   44, 192,4804, 228,13732, 772, 212
Hyper-V,   44, 192,3960, 224,12636,104578, 212
Hyper-V,   40, 188,5192, 228,414956, 784, 212
Hyper-V,   40, 200,5136, 224,15632, 772, 208
Hyper-V,   44, 196,5188, 224,14120, 760, 208
Hyper-V,   40, 196,5052, 232,14332, 776, 212
Hyper-V,   40, 192,4084, 228,13432, 776, 208
Hyper-V,   40, 192,4300, 224,12764, 764, 212
Hyper-V,   44, 188,4684, 224,13528, 764, 208
Hyper-V,   40, 196,4444, 232,14160, 772, 208
Hyper-V,   40, 192,4100, 224,12860, 776, 208
Hyper-V,   44, 196,4920, 224,13752, 764, 208
Hyper-V,   44, 188,6004, 224,14692, 760, 212
Hyper-V,   40, 344,5208, 228,15896, 780, 208
Hyper-V,   40, 180,4028, 224,13792, 776, 212
Hyper-V,   40, 188,4556, 228,13780, 764, 212
Hyper-V,   44, 196,5272, 224,14476, 760, 208
Hyper-V,   40, 396,4264, 224,13600, 772, 208
Hyper-V,   40, 344,4356, 228,13540, 780, 212
Hyper-V,   44, 188,4104, 224,13008, 760, 212
Hyper-V,   44, 360,5688, 228,13536, 776, 212
Hyper-V,   44, 348,5124, 224,14080, 776, 208
Hyper-V,   40, 356,6808, 228,18188, 760, 212
Hyper-V,   40, 192,4328, 228,15304, 768, 212
Hyper-V,   40, 200,3836, 224,13988, 776, 212
Hyper-V,   44, 360,3920, 228,13792, 772, 212
Hyper-V,   40, 196,3712, 224,13380, 772, 208
Hyper-V,   44, 192,3868, 228,12840, 776, 208
Hyper-V,   40, 200,3764, 224,12420, 772, 208
Hyper-V,   40, 196,3720, 228,12528, 776, 208
Hyper-V,   40, 224,4956, 228,14472, 768, 212
Hyper-V,   44, 180,4260, 224,13548, 780, 208
