Platform, cli, lgdt, prot, in main
KVM,   86, 122,60494, 285
KVM,   27, 129,60650, 272
KVM,   31, 122,60565, 275
KVM,   24, 129,60280, 272
KVM,   24, 129,60271, 272
KVM,   27, 119,60464, 272
KVM,   31, 125,60834, 272
KVM,   34, 119,61296, 278
KVM,   31, 122,60644, 282
KVM,   86, 122,60528, 282
KVM,   34, 125,60207, 278
KVM,   79, 132,60118, 272
KVM,   79, 129,60369, 272
KVM,   31, 122,59926, 275
KVM,   34, 119,60993, 282
KVM,   31, 122,60461, 275
KVM,   31, 122,60005, 272
KVM,   31, 122,60284, 272
KVM,   34, 119,60216, 275
KVM,   27, 126,60522, 275
KVM,   27, 129,60054, 275
KVM,   31, 122,60568, 272
KVM,   86, 122,60565, 272
KVM,   27, 126,60681, 275
KVM,   86, 122,60608, 275
KVM,   79, 129,59968, 272
KVM,   79, 119,60045, 285
KVM,   34, 119,60473, 275
KVM,   27, 132,60467, 275
KVM,   31, 122,60623, 275
KVM,   86, 119,122246, 285
KVM,   24, 129,60626, 272
KVM,   31, 122,60601, 282
KVM,   34, 119,59632, 272
KVM,   34, 122,93077, 282
KVM,   24, 129,60109, 275
KVM,   86, 122,60341, 285
KVM,   31, 122,59938, 275
KVM,   79, 129,60252, 279
KVM,   24, 129,60944, 272
KVM,   86, 119,60231, 282
KVM,   27, 126,60488, 275
KVM,   31, 125,60225, 279
KVM,   24, 132,60577, 275
KVM,   27, 129,60268, 278
KVM,   86, 119,61507, 278
KVM,   31, 122,60693, 279
KVM,   34, 119,60424, 272
KVM,   31, 122,60525, 285
KVM,   24, 129,59971, 272
KVM,   34, 119,60583, 272
KVM,   79, 126,60766, 279
KVM,   79, 126,60363, 272
KVM,   27, 126,60271, 275
KVM,   86, 122,60054, 278
KVM,   86, 119,60388, 272
KVM,   24, 129,60424, 275
KVM,   34, 119,60023, 282
KVM,   86, 122,60479, 279
KVM,   34, 122,60727, 272
KVM,   34, 119,61137, 272
KVM,   86, 122,60360, 272
KVM,   79, 129,60482, 272
KVM,   31, 125,60721, 272
KVM,   79, 129,61418, 272
KVM,   86, 119,60577, 279
KVM,   79, 126,60301, 282
KVM,   34, 119,59730, 278
KVM,   79, 126,59736, 278
KVM,   79, 129,60252, 282
KVM,   27, 126,60096, 285
KVM,   86, 122,60397, 275
KVM,   86, 119,60549, 282
KVM,   86, 122,60473, 275
KVM,   34, 119,60339, 272
KVM,   27, 129,60127, 272
KVM,   31, 122,61703, 275
KVM,   79, 132,59650, 272
KVM,   31, 122,60185, 279
KVM,   31, 122,61440, 278
KVM,   27, 126,60295, 282
KVM,   24, 129,60228, 272
KVM,   34, 122,60678, 275
KVM,   31, 122,60531, 272
KVM,   34, 119,60317, 275
KVM,   24, 129,60393, 272
KVM,   24, 129,60231, 278
KVM,   34, 119,60185, 282
KVM,   27, 126,60176, 275
KVM,   31, 125,60256, 278
KVM,   34, 122,60565, 275
KVM,   86, 122,59824, 279
KVM,   79, 126,60194, 282
KVM,   86, 122,60672, 272
KVM,   86, 122,60335, 279
KVM,   31, 122,60917, 275
KVM,   34, 122,60140, 272
KVM,   86, 122,60488, 279
KVM,   27, 126,60626, 278
KVM,   34, 119,59968, 285
KVM,   27, 126,60959, 272
KVM,   34, 119,60733, 282
KVM,   86, 122,60164, 279
KVM,   24, 132,60308, 275
KVM,   79, 126,60197, 282
KVM,   34, 119,60002, 282
KVM,   79, 129,60014, 275
KVM,   86, 119,60675, 275
KVM,   31, 125,60522, 272
KVM,   34, 119,60173, 278
KVM,   34, 119,62804, 275
KVM,   24, 129,59797, 272
KVM,   79, 129,60213, 272
KVM,   31, 122,60348, 278
KVM,   34, 119,60803, 282
KVM,   86, 122,59984, 272
KVM,   34, 125,60712, 275
KVM,   86, 122,59760, 285
KVM,   86, 122,60234, 279
KVM,   34, 122,60372, 285
KVM,   79, 129,60347, 272
KVM,   34, 125,60672, 275
KVM,   86, 119,116504, 282
KVM,   34, 119,60494, 285
KVM,   86, 122,60467, 272
KVM,   34, 125,60510, 272
KVM,   31, 122,59825, 272
KVM,   79, 129,60326, 278
KVM,   34, 119,60311, 272
KVM,   86, 125,60134, 278
KVM,   24, 129,153100, 272
