Platform, cli, lgdt, prot, in main
KVM,   86, 119,60604, 279
KVM,   79, 129,60020, 272
KVM,   31, 122,60225, 282
KVM,   31, 122,84769, 386
KVM,   86, 119,59702, 285
KVM,   79, 129,60555, 282
KVM,   24, 129,60363, 272
KVM,   27, 129,60408, 282
KVM,   79, 129,59824, 275
KVM,   27, 126,60522, 278
KVM,   27, 126,60418, 275
KVM,   86, 119,60259, 275
KVM,   86, 122,59886, 275
KVM,   34, 119,60100, 275
KVM,   27, 126,60136, 285
KVM,   34, 125,59880, 275
KVM,   34, 119,60384, 279
KVM,   86, 122,60461, 275
KVM,   34, 119,60907, 282
KVM,   86, 122,60287, 272
KVM,   79, 126,60078, 275
KVM,   86, 122,60678, 272
KVM,   79, 129,60430, 272
KVM,   79, 126,150760, 275
KVM,   34, 122,59852, 279
KVM,   31, 122,60577, 275
KVM,   86, 119,60164, 282
KVM,   27, 129,60133, 272
KVM,   86, 122,59867, 279
KVM,   79, 126,60876, 282
KVM,   79, 129,60069, 278
KVM,   34, 119,57763, 275
KVM,   27, 126,60191, 282
KVM,   79, 119,109769, 279
KVM,   27, 126,60231, 275
KVM,   34, 122,60128, 275
KVM,   31, 122,59669, 272
KVM,   31, 122,60311, 275
KVM,   31, 122,60577, 275
KVM,   27, 126,60494, 278
KVM,   31, 122,60427, 275
KVM,   34, 119,60241, 278
KVM,   24, 129,60497, 282
KVM,   86, 119,60375, 272
KVM,   86, 122,59953, 282
KVM,   27, 126,60344, 282
KVM,   27, 126,60179, 275
KVM,   86, 119,159062, 275
KVM,   31, 122,60011, 282
KVM,   24, 132,59457, 282
KVM,   86, 122,59406, 272
KVM,   27, 126,59696, 278
KVM,   79, 129,60555, 282
KVM,   24, 132,59919, 272
KVM,   27, 126,60252, 282
KVM,   86, 119,59965, 282
KVM,   86, 122,60180, 275
KVM,   86, 119,60017, 279
KVM,   79, 129,60347, 279
KVM,   31, 122,60014, 282
KVM,   34, 122,59968, 282
KVM,   31, 122,60421, 282
KVM,   86, 122,60201, 275
KVM,   79, 126,60222, 275
KVM,   31, 122,59947, 272
KVM,   86, 119,60268, 279
KVM,   79, 129,60311, 272
KVM,   24, 129,57729, 272
KVM,   34, 119,59886, 272
KVM,   79, 129,60008, 278
KVM,   24, 129,60412, 272
KVM,   24, 129,60454, 282
KVM,   79, 129,59763, 275
KVM,   86, 119,60164, 279
KVM,   31, 122,59956, 285
KVM,   24, 122,60039, 272
KVM,   86, 122,61216, 279
KVM,   86, 122,60375, 285
KVM,   34, 119,60045, 272
KVM,   34, 119,59660, 272
KVM,   34, 119,59849, 278
KVM,   34, 119,60268, 275
KVM,   34, 122,59886, 275
KVM,   86, 122,60106, 275
KVM,   79, 129,57007, 275
KVM,   31, 122,59234, 279
KVM,   79, 126,59595, 272
KVM,   24, 129,60048, 275
KVM,   27, 126,59665, 285
KVM,   86, 122,59632, 275
KVM,   86, 122,60002, 275
KVM,   79, 132,60240, 285
KVM,   31, 122,59831, 278
KVM,   79, 129,60072, 275
KVM,   31, 122,59852, 275
KVM,   24, 129,60060, 272
KVM,   79, 129,59592, 272
KVM,   24, 132,59745, 275
KVM,   34, 119,59690, 272
KVM,   34, 122,59913, 279
KVM,   86, 119,58469, 279
KVM,   31, 122,59901, 272
KVM,   79, 126,59861, 275
KVM,   34, 119,60339, 275
KVM,   79, 129,60173, 275
KVM,   79, 129,59858, 272
KVM,   34, 119,60241, 278
KVM,   24, 129,60139, 272
KVM,   79, 129,60057, 272
KVM,   86, 122,59730, 272
KVM,   86, 122,59739, 282
KVM,   27, 129,102226, 272
KVM,   27, 132,60020, 275
KVM,   86, 122,60207, 272
KVM,   31, 122,60672, 275
KVM,   86, 119,60589, 275
KVM,   86, 122,60063, 275
KVM,   86, 122,60553, 275
KVM,   27, 126,60613, 282
KVM,   86, 122,57968, 282
KVM,   34, 119,60176, 282
KVM,   34, 119,60354, 272
KVM,   31, 122,59592, 285
KVM,   79, 126,59849, 275
KVM,   27, 126,60011, 272
KVM,   24, 129,60286, 278
KVM,   86, 122,60075, 285
KVM,   86, 119,59849, 272
KVM,   31, 122,59760, 279
KVM,   86, 122,60507, 275
KVM,   31, 122,60244, 278
KVM,   34, 119,60124, 279
KVM,   79, 129,60372, 272
KVM,   31, 125,60311, 272
KVM,   79, 129,127528, 282
KVM,   86, 122,60418, 272
KVM,   86, 119,59773, 272
KVM,   86, 122,59592, 275
KVM,   79, 126,60139, 279
KVM,   31, 122,59791, 275
KVM,   27, 126,60531, 275
KVM,   79, 126,60197, 279
KVM,   34, 119,59828, 278
KVM,   86, 119,60375, 279
KVM,   34, 119,60611, 272
KVM,   86, 122,59981, 272
KVM,   24, 129,60292, 272
KVM,   34, 122,60736, 282
KVM,   79, 129,60314, 275
KVM,   34, 122,60412, 272
KVM,   27, 129,59812, 272
KVM,   86, 122,59880, 278
KVM,   79, 129,59809, 272
KVM,   27, 126,59426, 282
KVM,   24, 129,60207, 275
KVM,   27, 126,60121, 272
KVM,   86, 122,60048, 275
KVM,   79, 126,57279, 282
KVM,   34, 119,60289, 279
KVM,   31, 122,60586, 272
KVM,   31, 122,59929, 272
KVM,   79, 129,60197, 279
KVM,   86, 122,59950, 272
KVM,   34, 122,59754, 279
KVM,   86, 122,59335, 275
KVM,   86, 122,60602, 272
KVM,   86, 122,60443, 275
KVM,   31, 122,59962, 282
KVM,   27, 129,60292, 272
KVM,   34, 119,60277, 275
KVM,   86, 122,58023, 275
KVM,   31, 122,59705, 282
KVM,   79, 129,57496, 279
KVM,   34, 122,60905, 278
KVM,   79, 129,59895, 278
KVM,   86, 122,60060, 278
KVM,   79, 126,60748, 272
KVM,   79, 129,60292, 282
KVM,   86, 122,60489, 278
KVM,   34, 122,60715, 272
KVM,   34, 122,60541, 275
KVM,   86, 122,60528, 285
KVM,   33, 218,75228, 282
KVM,   24, 129,60479, 275
KVM,   86, 119,61158, 275
KVM,   27, 126,59989, 282
KVM,   34, 119,62574, 282
KVM,   31, 122,59837, 272
KVM,   34, 119,60268, 279
KVM,   34, 119,60280, 282
KVM,   86, 119,60299, 275
KVM,   79, 126,60519, 275
KVM,   79, 129,60552, 285
KVM,   31, 122,119600, 272
KVM,   27, 126,60014, 275
KVM,   79, 126,60323, 272
KVM,   86, 119,60112, 282
KVM,   86, 119,60751, 282
KVM,   34, 119,60369, 272
KVM,   34, 119,60366, 272
KVM,   79, 126,60142, 279
KVM,   86, 119,59855, 279
KVM,   79, 129,60066, 272
KVM,   86, 119,59956, 275
KVM,   86, 122,60593, 272
KVM,   31, 122,60152, 278
KVM,   24, 129,60075, 278
KVM,   86, 122,60351, 275
KVM,   86, 122,151840, 275
KVM,   79, 129,60176, 275
KVM,   79, 129,60369, 275
KVM,   24, 129,59922, 272
KVM,   34, 119,60348, 275
KVM,   34, 122,60274, 275
KVM,   86, 122,60219, 282
KVM,   24, 129,60460, 279
KVM,   86, 122,60513, 272
KVM,   34, 119,60100, 272
KVM,   86, 122,60338, 282
KVM,   79, 132,60262, 272
KVM,   34, 119,60387, 279
KVM,   34, 122,60611, 278
KVM,   31, 122,60718, 272
KVM,   79, 119,60914, 278
KVM,   86, 122,59953, 275
KVM,   86, 119,60029, 282
KVM,   79, 129,60439, 272
KVM,   34, 119,59708, 282
KVM,   86, 122,60690, 272
KVM,   86, 119,60442, 279
KVM,   31, 125,60455, 272
KVM,   79, 129,59867, 275
KVM,   86, 122,60250, 275
KVM,   31, 122,60388, 275
KVM,   34, 119,59926, 275
KVM,   79, 126,60035, 282
KVM,   24, 132,60179, 278
KVM,   79, 126,60479, 275
KVM,   27, 126,60338, 272
KVM,   79, 129,61026, 282
KVM,   31, 125,60287, 275
KVM,   86, 119,60375, 279
KVM,   86, 122,60256, 272
KVM,   31, 122,60461, 272
KVM,   31, 122,60617, 272
KVM,   79, 129,60580, 275
KVM,   27, 126,61158, 275
KVM,   86, 122,60696, 279
KVM,   31, 122,61262, 282
KVM,   34, 122,60920, 275
KVM,   86, 122,59996, 272
KVM,   86, 122,60290, 272
KVM,   34, 125,60433, 282
KVM,   24, 129,60699, 275
KVM,   34, 119,59653, 279
KVM,   24, 129,60133, 285
KVM,   31, 122,60473, 282
KVM,   34, 122,60470, 272
KVM,   86, 122,60305, 272
KVM,   79, 129,60350, 279
KVM,   86, 122,60369, 275
KVM,   86, 119,60100, 278
KVM,   31, 122,60488, 285
KVM,   86, 122,81013, 282
KVM,   79, 129,147677, 275
KVM,   86, 122,59736, 275
KVM,   24, 129,60448, 285
KVM,   34, 125,59941, 272
KVM,   24, 132,60100, 275
KVM,   86, 122,60556, 272
KVM,   34, 119,60914, 272
KVM,   27, 126,61020, 279
KVM,   31, 122,60522, 282
KVM,   79, 129,60623, 275
KVM,   27, 126,59830, 279
KVM,   86, 119,60066, 282
KVM,   31, 122,59990, 272
KVM,   79, 126,59934, 279
KVM,   31, 122,60516, 272
KVM,   24, 129,60347, 272
KVM,   79, 119,60057, 279
KVM,   86, 122,60739, 272
KVM,   34, 119,60094, 275
KVM,   24, 129,60161, 275
KVM,   79, 129,60200, 285
KVM,   79, 126,60402, 279
KVM,   34, 119,60800, 272
KVM,   79, 126,60197, 279
KVM,   86, 119,60320, 272
KVM,   31, 122,61406, 275
KVM,   27, 126,60873, 285
KVM,   31, 122,60345, 272
KVM,   79, 129,59852, 275
KVM,   24, 129,60601, 272
KVM,   86, 119,59950, 272
KVM,   31, 122,60467, 275
KVM,   31, 122,60895, 279
KVM,   79, 129,60225, 275
KVM,   86, 122,60299, 278
KVM,   34, 119,60528, 285
KVM,   86, 122,60969, 272
KVM,   34, 119,59855, 275
KVM,   86, 122,60495, 275
KVM,   24, 129,60237, 279
KVM,   86, 122,124323, 275
KVM,   31, 125,60027, 272
KVM,   34, 119,60852, 282
KVM,   86, 119,59984, 275
KVM,   86, 122,60391, 275
KVM,   34, 125,60039, 278
KVM,   27, 126,60632, 275
KVM,   27, 126,60170, 272
KVM,   86, 122,60042, 272
KVM,   79, 129,59674, 272
KVM,   86, 122,60081, 282
KVM,   24, 129,60375, 275
KVM,   79, 129,60295, 279
KVM,   31, 122,60669, 272
KVM,   34, 122,60109, 275
KVM,   27, 126,60570, 279
KVM,   34, 119,60088, 272
KVM,   27, 126,60754, 282
KVM,   86, 119,60366, 278
KVM,   86, 122,60436, 282
