Platform, cli, lgdt, prot, in 32, id map, long, in 64
Hyper-V,  148, 666,4490, 250,15706, 934, 848
Hyper-V,  148, 846,4502, 246,15604,1424, 852
Hyper-V,  148, 716,4524, 248,15610, 934, 848
Hyper-V,  148, 736,4536, 254,15580, 830, 856
Hyper-V,  148, 784,4516, 248,15622,1148, 854
Hyper-V,  148, 682,4500, 248,15596, 910, 854
Hyper-V,  148, 794,4504, 252,15598,1360, 846
Hyper-V,  148, 720,4498, 246,15584, 914, 850
Hyper-V,  148, 676,4498, 246,15602, 906, 854
Hyper-V,  148, 686,4490, 246,15598, 914, 854
Hyper-V,  148, 670,4494, 246,15612, 918, 860
Hyper-V,  148, 714,4508, 252,15626,1384, 854
Hyper-V,  148, 696,4504, 246,15570, 930, 850
Hyper-V,  148, 722,4484, 248,15604, 938, 856
Hyper-V,  148, 644,4516, 248,15584,1354, 846
Hyper-V,  148, 736,4856, 250,15594, 934, 848
Hyper-V,  148,1042,4510, 246,15654, 914, 852
Hyper-V,  148, 692,4496, 248,15562,1374, 850
Hyper-V,  148, 948,4492, 246,15598, 928, 848
Hyper-V,  148, 630,4494, 248,15622,1406, 848
Hyper-V,  148, 750,4498, 246,15566, 914, 850
Hyper-V,  148, 670,4504, 248,15608,1376, 860
Hyper-V,  148, 656,4498, 250,15588, 928, 848
Hyper-V,  148, 736,4498, 250,15602,1062, 854
Hyper-V,  148, 716,4500, 246,15614,1366, 848
Hyper-V,  148, 708,4492, 252,15632, 918, 846
Hyper-V,  148, 712,4500, 246,15648, 908, 852
Hyper-V,  148, 696,4494, 248,15620, 956, 850
Hyper-V,  148, 682,4482, 248,15586, 930, 846
Hyper-V,  148, 684,4504, 250,15668, 840, 848
Hyper-V,  148, 688,4502, 252,15620, 974, 848
Hyper-V,  134, 664,4456, 232,15612, 908, 848
Hyper-V,  148, 680,4504, 252,15620, 912, 846
Hyper-V,  148, 782,4484, 250,15674, 904, 848
Hyper-V,  148, 678,4504, 250,15616,1368, 848
Hyper-V,  148, 690,4480, 252,15600, 928, 854
Hyper-V,  148, 714,4504, 250,15612, 914, 860
Hyper-V,  148, 668,4494, 246,15564, 916, 856
Hyper-V,  148, 668,4508, 248,15622, 910, 850
Hyper-V,  148, 656,4496, 248,15662, 928, 850
Hyper-V,  148, 672,4522, 252,15592, 952, 850
Hyper-V,  148, 722,4514, 250,15596, 928, 856
Hyper-V,  148, 694,4488, 246,15624, 912, 848
Hyper-V,  148, 722,4492, 252,15616, 940, 850
Hyper-V,  148, 698,4520, 246,15926, 918, 860
Hyper-V,  148, 704,4518, 250,15586, 948, 850
Hyper-V,  148, 692,4506, 250,15586, 910, 844
Hyper-V,  148, 682,4502, 246,15608,1382, 850
Hyper-V,  148, 698,4518, 250,15592, 914, 860
Hyper-V,  148, 744,4494, 248,15594, 984, 850
Hyper-V,  148, 712,4516, 248,15622,1800, 858
Hyper-V,  148, 674,4512, 248,15610, 960, 850
Hyper-V,  148, 666,4474, 248,15636, 942, 854
Hyper-V,  148, 642,4472, 250,15544, 900, 848
Hyper-V,  148, 692,4498, 252,15610, 908, 848
Hyper-V,  148, 678,4488, 246,15596, 912, 852
Hyper-V,  148, 714,4490, 246,15900, 910, 848
Hyper-V,  148, 680,4492, 246,15594, 906, 848
Hyper-V,  148, 702,4504, 248,15580, 924, 854
Hyper-V,  148, 722,4498, 246,15590, 944, 850
Hyper-V,  148, 742,4524, 252,15570,1018, 850
Hyper-V,  148, 692,4498, 246,15584, 994, 850
Hyper-V,  136, 648,4562, 236,15578, 834, 844
Hyper-V,  134, 656,4504, 232,15440, 832, 856
Hyper-V,  148, 676,4498, 248,15622, 832, 854
Hyper-V,  148, 704,4842, 246,15672, 980, 854
Hyper-V,  148, 660,4496, 252,15598, 928, 844
Hyper-V,  148, 704,4506, 248,15650, 908, 854
Hyper-V,  146, 668,4502, 250,15610, 902, 844
Hyper-V,  148, 712,4518, 248,15620, 934, 850
Hyper-V,  148, 642,4496, 246,15560, 930, 848
Hyper-V,  148, 748,4502, 248,15608, 910, 856
Hyper-V,  148, 702,4496, 248,15614,1066, 858
Hyper-V,  148, 910,4524, 248,15600, 940, 848
Hyper-V,  146, 660,4502, 250,15688, 930, 852
Hyper-V,  148, 684,4510, 254,15646, 934, 854
Hyper-V,  148, 712,4506, 248,15586, 906, 848
Hyper-V,  148, 672,4512, 250,16118,1022, 860
Hyper-V,  148, 688,4504, 248,15598, 934, 850
Hyper-V,  148, 704,4510, 246,15574, 946, 848
Hyper-V,  148, 726,4490, 248,15644,1030, 850
Hyper-V,  148,1108,4494, 246,15598, 906, 850
Hyper-V,  148, 732,4528, 248,15688,1068, 850
Hyper-V,  148, 728,4524, 248,15716, 928, 852
Hyper-V,  148, 724,4500, 244,15614, 920, 856
Hyper-V,  148, 674,4494, 248,15578, 924, 850
Hyper-V,  148, 668,4496, 250,15614, 942, 854
Hyper-V,  148, 758,4868, 250,15736,1098, 852
Hyper-V,  148, 706,4518, 252,15636,1062, 858
Hyper-V,  148, 692,4482, 246,15644, 916, 854
Hyper-V,  148, 784,4504, 256,15660,1008, 848
Hyper-V,  134, 818,4480, 232,15596,1380, 858
Hyper-V,  148, 704,4500, 252,15590,1020, 848
Hyper-V,  148, 682,4530, 250,15950,1024, 842
Hyper-V,  148, 716,4510, 252,15608, 974, 848
Hyper-V,  148, 692,4496, 250,15624, 928, 846
Hyper-V,  148, 764,4502, 246,15684, 904, 850
Hyper-V,  148, 732,4510, 248,15980,1394, 852
Hyper-V,  148, 706,4506, 246,15608, 984, 852
Hyper-V,  148, 686,4516, 256,15686, 998, 850
Hyper-V,  148, 708,4502, 252,15644,1012, 846
Hyper-V,  148, 722,4504, 250,15720, 974, 844
Hyper-V,  148, 678,4498, 244,15736, 944, 850
Hyper-V,  148, 660,4500, 250,15722,1014, 848
Hyper-V,  148, 986,4496, 248,15604, 964, 850
Hyper-V,  148, 696,4494, 250,15630, 908, 852
Hyper-V,  148, 704,4490, 250,15638, 938, 844
Hyper-V,  148, 692,4500, 248,15760, 954, 854
Hyper-V,  148, 684,4506, 252,16006, 960, 856
Hyper-V,  148,1236,4500, 246,15678, 904, 846
Hyper-V,  148, 692,4490, 252,16026, 904, 850
Hyper-V,  148, 742,4500, 248,15710,1130, 846
Hyper-V,  148, 722,4522, 248,15608, 954, 846
Hyper-V,  148, 730,4502, 250,15932, 918, 842
Hyper-V,  148, 654,4490, 250,16036, 928, 848
Hyper-V,  148, 648,4476, 252,15666, 986, 850
Hyper-V,  146, 704,4510, 248,15686, 964, 844
Hyper-V,  148, 664,4502, 250,15720, 924, 860
Hyper-V,  148, 656,4494, 248,15650, 928, 850
Hyper-V,  148, 682,4504, 246,15692, 914, 854
Hyper-V,  148, 732,4506, 252,15728,1380, 852
Hyper-V,  148, 616,4502, 252,15590,1384, 842
Hyper-V,  148, 662,4508, 248,15646, 918, 856
Hyper-V,  148, 638,4476, 250,15678, 902, 852
Hyper-V,  148, 712,4516, 254,15736, 926, 846
Hyper-V,  148, 668,4500, 246,15598, 964, 842
Hyper-V,  148, 744,4508, 248,15720,1178, 846
Hyper-V,  148, 678,4516, 250,15612, 904, 846
Hyper-V,  148, 678,4504, 246,15708, 918, 858
Hyper-V,  148, 674,4504, 246,15724, 936, 848
Hyper-V,  148, 694,4508, 246,15686, 902, 850
Hyper-V,  148, 780,4502, 252,15730,1214, 844
Hyper-V,  148, 700,4670, 246,15742, 898, 854
Hyper-V,  148, 662,4496, 246,15734, 910, 852
Hyper-V,  148, 754,4512, 248,15828,1400, 856
Hyper-V,  148, 742,4504, 246,15704,1024, 840
Hyper-V,  148, 766,4726, 246,15718,1092, 854
Hyper-V,  148, 672,4498, 254,15602,1020, 848
Hyper-V,  148, 650,4508, 250,15698, 962, 844
Hyper-V,  148, 648,4494, 250,15960, 904, 848
Hyper-V,  148, 670,4508, 246,15590, 830, 854
Hyper-V,  148, 622,4514, 250,15604, 972, 852
Hyper-V,  148, 666,4500, 248,15666,1410, 850
Hyper-V,  148, 728,4516, 250,15756,1028, 856
Hyper-V,  148, 654,4638, 248,15614,1404, 842
Hyper-V,  148, 718,4512, 252,15668,1028, 852
Hyper-V,  148, 732,4508, 248,15724, 918, 842
Hyper-V,  148, 720,4504, 254,15602,1050, 852
Hyper-V,  148, 712,4510, 256,15748,1044, 848
Hyper-V,  148, 710,4488, 246,15748, 940, 854
Hyper-V,  148, 690,4496, 254,15748, 988, 852
Hyper-V,  148, 662,4494, 250,15598,1022, 846
Hyper-V,  148, 666,4492, 252,15932,1374, 844
Hyper-V,  134, 644,4504, 234,15616, 834, 848
Hyper-V,  148, 686,4506, 252,16062,1066, 852
Hyper-V,  148, 658,4510, 246,15582, 920, 848
Hyper-V,  148, 750,4496, 250,15742, 922, 854
Hyper-V,  148, 668,4518, 246,15688, 904, 854
Hyper-V,  148, 634,4684, 248,15688,1394, 852
Hyper-V,  148, 688,4516, 246,15702, 930, 850
